nct_id,title,status,phase,study_type,conditions,lead_sponsor,start_date,completion_date,enrollment_count,sponsor_class,num_sites,fda_regulated_drug,minimum_age,maximum_age,accepts_healthy,sex,num_collaborators
NCT03786003,Lobectomy for Clincial Stage T1N0M0 Solid NSCLC by VATS Versus Thoracotomy,RECRUITING,NA,INTERVENTIONAL,"Carcinoma, Non-Small-Cell Lung",Fudan University,2022-02-09,2028-02-09,1086.0,OTHER,1,False,18 Years,75 Years,True,ALL,0
NCT07499986,Respiratory Muscle Training in Patients Undergoing Lung Cancer Surgery,NOT_YET_RECRUITING,NA,INTERVENTIONAL,Lung Cancer,Saglik Bilimleri Universitesi,2026-12-30,2026-12-30,70.0,OTHER,1,False,18 Years,70 Years,False,ALL,0
NCT01130766,Randomized Phase III Trial of Stereotactic Radiosurgery (SRS) Versus Observation for Patients With Asymptomatic Cerebral Oligo-metastases in Non-small Cell Lung Cancer (NSCLC),UNKNOWN,PHASE3,INTERVENTIONAL,Non-small Cell Lung Cancer,Samsung Medical Center,2008-06,,176.0,OTHER,1,,18 Years,,False,ALL,0
NCT03542253,Combined Diagnosis of CT and Exosome in Early Lung Cancer,UNKNOWN,,OBSERVATIONAL,Early Lung Cancer,Second Affiliated Hospital of Soochow University,2018-05-20,2019-06-30,80.0,OTHER,0,False,,,True,ALL,0
NCT02305173,Effect of the Preoperative Administration of Dexamethasone in the Respiratory Function and Postoperative Symptoms in Women Undergoing Mastectomy for Cancer. Results of a Randomized Clinical Trial.,COMPLETED,PHASE3,INTERVENTIONAL,"Respiratory; Disorder, Functional, Impaired",Instituto Mexicano del Seguro Social,2014-11,2016-11,120.0,OTHER_GOV,1,,20 Years,69 Years,False,FEMALE,0
NCT02416570,Is Clarithromycin a Potential Treatment for Cachexia in People With Lung Cancer?,TERMINATED,PHASE2,INTERVENTIONAL,"Cachexia, Lung Cancer",University of Nottingham,2015-04,2015-10,1.0,OTHER,0,,18 Years,,False,ALL,1
NCT01579994,A Phase I Study of Crizotinib and Ganetespib (STA-9090) in ALK Positive Lung Cancers,COMPLETED,PHASE1,INTERVENTIONAL,Advanced Lung Cancer,Memorial Sloan Kettering Cancer Center,2012-04-16,2020-12-28,13.0,OTHER,5,,18 Years,,False,ALL,0
NCT04131231,Safety and Effectiveness of Microparticles Packaging Chemotherapeutic Drugs(MPCD) Therapy on the Treatment of Malignant Pleural Effusion,UNKNOWN,NA,INTERVENTIONAL,"Lung Cancer, Breast Cancer, Malignant Pleural Effusion",Peking Union Medical College,2019-10-15,2021-06-15,248.0,OTHER,0,False,18 Years,80 Years,False,ALL,0
NCT01621295,Assessing the Patient Experience in Cancer Care: An Observational Communication Study,COMPLETED,,OBSERVATIONAL,"Brain Neoplasm, Breast Neoplasm, Endocrine Gland Neoplasm, Gastrointestinal Neoplasm, Genitourinary Neoplasm, Gynecological Neoplasm, Head and Neck Neoplasm, Lung Neoplasm, Melanoma, Sarcoma",Mayo Clinic,2012-05,2015-09,408.0,OTHER,3,,18 Years,,False,ALL,3
NCT07541521,Robotic-Assisted Sleeve Lobectomy for Non-Small Cell Lung Cancer After Neoadjuvant Chemoimmunotherapy,RECRUITING,,OBSERVATIONAL,"Stage IIB-III NSCLC, Sleeve Lobectomy, Robotic Surgery, Neoadjuvant Chemoimmunotherapy",Shanghai Chest Hospital,2026-04-13,2027-05-30,100.0,OTHER,10,False,,,False,ALL,9
